url,rank2017,startedDateTime,cdn,reqTotal,reqHtml,reqJS,reqCSS,reqImg,bytesTotal,bytesHtml,bytesJS,bytesCSS,bytesImg,TTFB,performanceScore,firstContentfulPaint,maxPotentialFirstInputDelay,speedIndex,firstMeaningfulPaint,firstCPUIdle,timeToInteractive
m.google.com,1,1584513269,Google,68,5,18,5,35,3353161,8376,617200,21922,2627403,2882,0.42,2606,270,9099,2606,8645,8645
google.com,1,1584318536,Google,37,15,6,1,15,353103,44301,278287,2983,27532,2643,0.94,1530,138,2462,1578,3769,3769
m.drive.google.com,1,1583250752,Google,48,5,14,8,15,743485,8523,239157,28915,425422,4588,0.51,4006,142,7107,5928,5928,5393
www.docs.google.com,1,1584391340,Google,19,2,5,0,1,532151,442695,14203,0,1494,3130,0.55,4361,323,5130,6155,6155,6042
www.ads.google.com,1,1583343054,Google,49,3,21,2,10,3713641,20045,1909470,64839,843966,2348,0.73,2809,410,4239,5291,5291,4998
www.google.com,1,1583105781,Google,37,15,5,1,15,356670,44099,281989,2983,27532,1426,0.98,939,155,1070,1029,3133,3133
m.sites.google.com,1,1583326437,Google,18,3,5,0,1,528846,439692,13901,0,1494,1758,0.65,3670,342,4400,5191,5540,5540
www.sites.google.com,1,1584276028,Google,18,3,5,0,1,531096,441640,14203,0,1494,1939,0.61,3921,295,4697,5411,5716,5716
www.drive.google.com,1,1583850251,Google,48,5,14,8,15,739998,8523,239049,28915,422043,4277,0.54,3966,94,7176,6112,6112,4652
www.youtube.com,2,1583804760,Google,19,5,4,2,6,1170935,412770,539107,76024,114315,2721,0.6,3465,94,4033,3465,7342,7342
youtube.com,2,1583113784,Google,20,6,4,2,6,1177367,444610,534528,75624,93886,3241,0.56,3557,65,4253,3557,7768,7768
m.youtube.com,2,1583365864,Google,19,4,5,2,6,1202416,429442,539170,76024,129061,1755,0.67,2736,108,4530,2736,2760,8357
m.facebook.com,3,1583754916,Facebook,21,1,14,2,4,315933,26257,220903,23416,45357,1389,0.93,2503,106,2567,2503,3308,3308
m.intern.facebook.com,3,1583554274,Facebook,22,2,14,2,4,318463,26124,222135,26349,43855,3028,0.83,3182,142,3288,3182,4138,4138
www.prod.facebook.com,3,1584425552,Facebook,22,2,14,2,4,317730,26487,217832,28054,45357,2307,0.83,3203,66,3287,3203,4050,4050
m.prod.facebook.com,3,1583116294,Facebook,24,1,17,2,4,334809,26125,234550,30279,43855,1438,0.96,2178,85,2260,2178,2811,2811
m.latest.facebook.com,3,1584409951,Facebook,21,1,14,2,4,317500,26251,217838,28054,45357,1548,0.93,2378,68,2482,2378,3385,3385
www.baidu.com,4,1584287645,"",104,3,49,0,41,1309217,92599,370329,0,772827,1651,0.44,1776,199,15715,7017,7027,7027
m.news.baidu.com,4,1583330904,"",41,8,11,2,20,317507,3646,227942,20345,65574,4845,0.15,7041,103,10273,7932,10388,10388
m.baidu.com,4,1584753313,"",98,3,49,0,38,1112501,92403,371015,0,605106,2693,0.49,1688,212,8687,6890,6890,6840
www.wikipedia.org,5,1584463552,"",7,1,2,0,4,89029,18609,9767,0,60653,1354,0.99,1790,37,1861,1790,1846,1846
www.yahoo.com,6,1584686714,"",110,13,47,0,38,864443,179424,412908,0,271868,1514,0.76,1423,226,2126,1692,4557,8473
m.search.yahoo.com,6,1584654054,"",7,1,3,0,3,143855,30757,104748,0,8350,1499,1,1217,45,1305,1217,1217,1217
www.google.co.in,7,1583750953,Google,32,11,5,1,15,353350,44049,278786,2983,27532,1454,0.96,1054,137,2073,1137,3506,3506
m.ke.qq.com,8,1583188295,"",153,29,90,2,30,1470658,37011,801522,19989,612136,2034,0.25,2800,473,13091,2800,16001,16001
m.vip.qq.com,8,1584283247,"",50,5,16,3,20,407233,6654,169338,56061,175066,3995,0.49,5600,53,6008,5600,5744,5744
www.roblox.qq.com,8,1583196449,"",51,4,5,2,39,1494142,7839,71447,8267,1406589,10508,0.27,5768,113,7013,5768,9466,9466
m.live.qq.com,8,1583663226,"",45,2,5,1,36,2402091,5370,104010,6797,2285914,2546,0.55,2542,86,5925,2542,2635,11490
m.ac.qq.com,8,1584932222,"",199,3,6,2,185,15531155,28305,701681,114850,14686287,3224,,5526,222,7047,5526,19318,
m.exmail.qq.com,8,1584818019,"",12,4,1,1,6,468721,2403,53139,8350,404829,4605,0.24,4817,66,35608,4817,8890,8890
www.qq.com,8,1583765588,Akamai,53,5,25,0,21,522936,80319,318949,0,120624,1746,0.8,794,737,988,794,4455,7481
m.nbachina.qq.com,8,1584832708,"",146,23,7,2,85,2663353,48232,149494,5576,2460051,2471,0.33,3321,385,11631,3321,3378,18267
m.mall.qq.com,8,1583614585,"",47,4,23,0,18,685876,16097,298873,0,370847,2064,0.42,1726,360,7344,6035,9144,9144
m.gamer.qq.com,8,1584449635,"",26,3,8,2,13,476601,5834,231337,13695,225735,2689,0.5,4542,297,6934,4542,5669,5669
app.daoju.qq.com,8,1583136054,"",70,5,27,0,35,184684,13585,116581,0,54400,2884,,,,,,,
m.fanyi.qq.com,8,1583837849,"",24,5,7,1,6,258802,2670,212797,4083,39200,4831,0.48,4191,93,5455,4191,7535,7535
m.egame.qq.com,8,1583541764,"",40,4,6,2,28,2294345,21913,86533,30640,2155259,2341,0.53,3325,240,5149,3325,4917,9972
m.v.qq.com,8,1584806438,"",51,1,7,3,38,5539831,12044,508414,24235,4995049,3778,0.1,6445,395,19936,6445,11901,11901
m.qq.com,8,1583690509,"",27,3,4,0,20,382609,6094,134858,0,241657,6125,0.17,5829,504,7911,8916,11614,11614
m.house.qq.com,8,1583058047,"",55,12,10,2,28,547730,12936,102949,20995,410830,3406,0.42,5125,84,6646,5125,6719,6719
m.intl.taobao.com,9,1583204072,"",44,3,17,0,22,547050,66262,310698,0,170090,2053,0.5,3873,192,4101,3873,3873,14414
www.taobao.com,9,1584269100,"",105,6,20,0,79,1192489,19529,311218,0,861742,9117,0.12,5154,372,11349,10225,13284,13284
www.google.co.jp,11,1583139332,Google,32,11,5,1,15,350929,44431,275983,2983,27532,1340,0.98,903,151,1815,982,3162,3162
m.sohu.com,12,1584120025,"",147,32,37,1,74,636801,22892,369905,17962,214488,4221,0.41,3897,1259,4399,3897,7486,15726
m.tv.sohu.com,12,1584564273,"",116,6,7,2,98,14926478,10911,98824,22396,14794315,2457,,3150,364,12078,3150,7513,
m.mail.sohu.com,12,1583486276,"",41,2,21,5,11,364390,3456,93505,4085,263200,2843,0.5,4537,58,10097,4537,4605,4605
m.k.sohu.com,12,1583445004,"",111,1,11,3,96,1747066,10351,46534,3516,1686665,2658,0.74,4013,68,4072,4013,4162,4162
m.auto.sohu.com,12,1583341402,"",54,14,19,1,20,891575,6635,69736,24445,790759,2111,0.5,3072,184,4969,3072,4670,14881
www.amazon.com,13,1583109827,Akamai,207,27,28,10,102,3650320,128709,734868,118391,2600492,1685,0.45,2537,103,10535,3071,7587,7587
vk.com,15,1583201620,"",32,4,13,2,9,877730,14845,364965,418682,78364,6015,0.42,6307,16,6293,6307,6307,6307
m.vk.com,15,1584435140,"",35,4,13,2,13,884425,19350,366575,419454,78450,4016,0.44,6155,16,6138,6155,6155,6155
www.reddit.com,16,1583672146,Fastly,45,3,23,0,14,708342,35289,590577,0,73778,1503,0.34,1337,1264,8160,7466,8851,12784
twitter.com,17,1583358401,"",123,2,117,0,2,1960255,25390,1929918,0,4947,2884,0.37,1702,258,7178,7272,11007,11007
blog.twitter.com,17,1584507287,Twitter,35,4,17,3,6,1320866,15046,267724,49903,912014,1540,0.6,1861,198,9077,5000,5000,4961
www.secure.instagram.com,18,1584479560,"",27,1,15,5,5,1182792,11242,654303,47959,469288,1438,0.68,914,185,6831,4736,4736,4713
www.instagram.com,18,1583847144,"",27,1,15,5,5,1149807,11147,632970,47804,457886,1384,0.58,874,250,6016,4014,7258,7258
m.360.cn,20,1584317504,"",40,2,4,0,34,714959,8525,21486,0,684948,2330,,3158,16,6124,3158,,
www.google.de,21,1583493502,Google,32,11,5,1,15,353549,44245,278789,2983,27532,1338,0.98,888,109,1788,966,3165,3165
www.linkedin.com,22,1584814451,"",24,1,7,1,10,306408,9533,216003,15402,65425,1481,0.94,2251,66,3021,2251,3005,3005
blog.linkedin.com,22,1584181640,"",42,3,6,2,20,7568207,50078,262130,77248,7060071,1395,0.56,3030,388,14801,4450,4450,4372
m.jr.jd.com,23,1584845273,Edgecast,78,3,22,3,41,1350680,1597,474046,65810,798997,3870,0.2,4231,371,10321,6296,11196,11196
app.jd.com,23,1583892364,"",57,4,14,2,37,1410081,14461,144021,9157,1242442,2084,0.48,2724,704,6260,2724,4424,13653
www.jd.com,23,1583200429,"",35,2,7,3,18,1183309,4314,160319,23111,865037,3452,0.34,4516,174,7772,4516,4516,11398
shop.m.jd.com,23,1584152395,Edgecast,26,5,13,1,6,330190,38885,142351,67619,81240,6839,0.37,3790,2079,6974,7730,8508,8508
m.jd.com,23,1583955423,"",109,8,19,6,75,1906621,61034,202529,93629,1547676,2846,0.27,3319,516,14842,3319,7231,13557
www.google.co.uk,24,1583122729,Google,32,11,5,1,15,350806,43957,276334,2983,27532,1320,0.98,875,140,1894,909,3073,3073
m.tw.weibo.com,25,1584244835,"",174,17,54,15,59,1459818,18231,460730,13802,930918,3548,0.03,6939,424,21047,6939,20587,25279
m.sg.weibo.com,25,1583133040,"",166,18,77,18,43,1007773,54271,766918,14922,134754,3751,0.06,6944,195,12160,6944,15456,16777
m.overseas.weibo.com,25,1583080513,"",198,28,77,16,45,911772,36796,668987,13755,190179,4777,0.06,6306,276,13718,6306,16398,17657
m.my.weibo.com,25,1584889340,"",200,27,84,18,49,1205388,75927,831888,14922,235569,3913,0.01,9479,143,16833,9479,22982,29861
app.weibo.com,25,1584022823,"",159,4,4,1,150,1879277,224936,130446,16316,1507579,5472,,13617,108,14322,14524,,
m.hk.weibo.com,25,1584139867,"",136,14,65,18,35,1144460,16048,586563,15132,477900,3365,0.07,6167,236,13015,6167,13730,15892
www.google.fr,26,1583508994,Google,37,16,5,1,15,353525,44221,278789,2983,27532,1372,0.98,877,122,1750,937,3081,3081
www.google.ru,27,1583151841,Google,32,11,5,1,15,350973,44475,275983,2983,27532,1336,0.98,938,123,1820,1010,3156,3156
m.yahoo.co.jp,28,1584616376,Yahoo,78,6,28,2,29,1306995,55554,638858,512230,90197,1855,0.24,6492,641,7066,6492,9754,9754
www.yahoo.co.jp,28,1584750032,Yahoo,132,9,35,1,74,1792348,50250,598838,222425,910678,3533,0.25,5651,751,6501,5913,11006,11006
www.google.com.br,29,1583982526,Google,37,16,5,1,15,352388,44296,277577,2983,27532,1395,0.96,926,126,1797,1002,3430,3430
m.hao123.com,30,1584571736,"",111,10,33,3,65,848894,73407,293851,97121,384515,2189,0.29,4037,492,6099,4037,10407,16629
m.money.yandex.ru,32,1583087620,"",47,4,12,2,24,1150650,11365,398380,41583,475446,6674,0.36,4152,174,5845,4152,8067,11639
m.yandex.ru,32,1584606635,"",46,1,20,2,22,653662,88369,486945,18030,60318,3302,0.69,2434,107,3613,2958,7113,7113
m.market.yandex.ru,32,1583756622,"",80,4,12,0,57,2093975,82247,428962,0,1467734,2282,0.33,2101,354,7934,4516,7301,22236
m.realty.yandex.ru,32,1583574074,"",89,6,38,4,32,5686051,124178,2206115,109678,3069468,3074,0.13,5310,2160,7914,5310,17967,28381
m.rabota.yandex.ru,32,1584224659,"",13,2,7,1,1,462419,57325,284083,27177,5430,2738,0.63,3343,137,4156,3411,6814,6814
m.zen.yandex.ru,32,1584615009,"",44,2,11,1,26,995906,152321,543226,12247,154616,3974,0.37,3954,741,5684,3954,10891,10891
yandex.ru,32,1584512529,"",44,1,21,2,20,671725,89198,487252,18030,77245,2096,0.79,1813,173,2927,2078,6217,6217
m.taxi.yandex.ru,32,1584295540,"",27,2,18,1,4,670419,6829,278133,29262,315271,2983,0.53,3245,503,4635,3245,8686,8686
m.news.yandex.ru,32,1584226119,"",69,1,31,1,30,1174910,146467,494396,1247,399304,4177,0.34,3683,781,5766,3683,13454,13454
m.store.yandex.ru,32,1584123467,"",30,1,6,1,22,800868,4014,256144,10860,529850,2138,0.53,5174,37,6328,5174,5174,5174
www.yandex.ru,32,1583645288,"",42,1,19,2,19,637489,84806,448233,18030,86420,2923,0.74,2787,96,4107,3119,5487,5487
www.google.com.hk,33,1583427809,Google,32,11,5,1,15,353134,43996,278623,2983,27532,1360,0.96,968,122,2044,968,3530,3530
www.google.it,34,1583824819,Google,32,11,5,1,15,353334,44021,278798,2983,27532,1369,0.97,867,137,1957,997,3262,3262
www.pages.ebay.com,35,1583097784,"",162,14,61,6,70,1392503,129930,991477,30060,174813,2226,0.57,1537,730,2155,1826,13426,13426
www.charity.ebay.com,35,1584357184,"",27,2,10,1,14,1336906,13991,308515,51836,962564,1844,0.47,3399,129,5541,3399,8900,8905
www.ebay.com,35,1583168194,Akamai,109,8,38,6,50,1014023,97826,736550,30060,95529,1424,0.55,2050,700,2447,2210,13831,13831
m.ebay.com,35,1584135073,Akamai,118,9,43,6,52,1106600,104771,806529,30060,110785,2982,0.46,3026,785,3386,3379,16538,16538
